,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAYI,İNGİLİZCESİ,TÜRKÇESİ,TÜRÜ,EŞ / YAKIN ANLAMLISI,ZIT ANLAMLISI,ÖRNEK CÜMLE 1,ÖRNEK CÜMLE 2,ÖRNEK CÜMLE 3,ÖRNEK CÜMLE 4,ÖRNEK CÜMLE 5,ÖRNEK CÜMLE 6,ÖRNEK CÜMLE 7,ÖRNEK CÜMLE 8,ÖRNEK CÜMLE 9,ÖRNEK CÜMLE 10,ÖRNEK CÜMLE 11,ÖRNEK CÜMLE 12,ÖRNEK CÜMLE 13,ÖRNEK CÜMLE 14,ÖRNEK CÜMLE 15,ÖRNEK CÜMLE 16,ÖRNEK CÜMLE TÜRKÇESİ 1,ÖRNEK CÜMLE TÜRKÇESİ 2,ÖRNEK CÜMLE TÜRKÇESİ 3,ÖRNEK CÜMLE TÜRKÇESİ 4,ÖRNEK CÜMLE TÜRKÇESİ 5,ÖRNEK CÜMLE TÜRKÇESİ 6,ÖRNEK CÜMLE TÜRKÇESİ 7,ÖRNEK CÜMLE TÜRKÇESİ 8,ÖRNEK CÜMLE TÜRKÇESİ 9,ÖRNEK CÜMLE TÜRKÇESİ 10,ÖRNEK CÜMLE TÜRKÇESİ 11,ÖRNEK CÜMLE TÜRKÇESİ 12,ÖRNEK CÜMLE TÜRKÇESİ 13,ÖRNEK CÜMLE TÜRKÇESİ 14,ÖRNEK CÜMLE TÜRKÇESİ 15,ÖRNEK CÜMLE TÜRKÇESİ 16
92,Surveillance,"Gözetim, Yakın Takip",n,"Close Observation, Scrutiny",,Banks are now installing surveillance cameras.,The area is under constant surveillance by security cameras.,Surveillance cameras monitor the area.,The bank is under constant surveillance by security cameras.,The suspect was kept under close surveillance for three weeks.,Modern technology has made digital surveillance much easier.,The high-security bank is under constant surveillance by cameras and guards.,The suspect was kept under close surveillance by the police for three weeks.,Modern technology has made digital surveillance much more efficient and invisible.,Human rights groups expressed concern over the increase in mass surveillance.,The intelligence agency used satellite surveillance to track the group's movements.,Surveillance of the borders is a priority for ensuring national security.,The hospital uses surveillance systems to monitor patients in critical condition.,Drone surveillance can be used to monitor wildlife in remote and difficult areas.,"He felt like he was under constant surveillance, even when he was at home.",The store installed surveillance equipment to prevent shoplifting and theft.,Bankalar şimdi gözetleme kameraları taktırıyor.,"Bölge, güvenlik kameraları tarafından sürekli gözetim altındadır.",Gözetleme kameraları bölgeyi izliyor.,"Banka, güvenlik kameraları tarafından sürekli gözetim altındadır.",Şüpheli üç hafta boyunca yakın takipte tutuldu.,Modern teknoloji dijital gözetimi çok daha kolay hale getirdi.,"Yüksek güvenlikli banka, kameralar ve korumalar tarafından sürekli gözetim altındadır.","Şüpheli, polis tarafından üç hafta boyunca yakın takipte tutuldu.","Modern teknoloji, dijital gözetimi çok daha verimli ve görünmez hale getirdi.",İnsan hakları grupları kitlesel gözetimdeki artıştan duydukları endişeyi dile getirdiler.,"İstihbarat teşkilatı, grubun hareketlerini izlemek için uydu takibi kullandı.","Sınırların gözetimi, ulusal güvenliği sağlamak için bir önceliktir.","Hastane, kritik durumdaki hastaları izlemek için izleme sistemleri kullanır.","Drone takibi, uzak ve zorlu bölgelerdeki yaban hayatını izlemek için kullanılabilir.",Evdeyken bile sürekli gözetim altındaymış gibi hissetti.,"Mağaza, hırsızlığı önlemek için gözetleme ekipmanı kurdu."
93,Sparse,"Seyrek, Az",adj,"Thin, Bare, Meager","Dense, Thick",Information coming out of the disaster area is sparse.,The vegetation in the mountain region is quite sparse.,The population is sparse in rural areas.,The trees become more sparse as you go higher up the mountain.,Population in the desert regions is very sparse due to the heat.,Information about the crash is still sparse at this moment.,The vegetation in the high mountain regions is quite sparse due to the cold.,Information coming out of the disaster area is still very sparse and unreliable.,Population in the desert areas is sparse because of the lack of fresh water.,"The evidence against the suspect was sparse, so the case was eventually dismissed.","During the dry season, the grass becomes sparse and the animals must travel far.","Her knowledge of the subject is sparse, so she needs to do more research.","The crowd at the morning session was sparse, but it grew larger in the afternoon.","Rain is sparse in this part of the country, making agriculture very difficult.",The trees in the forest became sparse as we reached the edge of the valley.,"Despite the sparse resources, the team managed to complete the project on time.",Felaket bölgesinden gelen bilgi çok az.,Dağlık bölgedeki bitki örtüsü oldukça seyrektir.,Kırsal alanlarda nüfus seyrektir.,Dağa daha yükseğe çıktıkça ağaçlar daha da seyrekleşir.,Çöl bölgelerindeki nüfus sıcak nedeniyle çok seyrektir.,Kaza hakkındaki bilgiler şu an için hala yetersiz.,Yüksek dağ bölgelerindeki bitki örtüsü soğuk nedeniyle oldukça seyrektir.,Afet bölgesinden gelen bilgiler hala çok kısıtlı ve güvenilmez.,Çöl bölgelerinde taze su eksikliği nedeniyle nüfus seyrektir.,"Şüpheliye karşı kanıtlar yetersizdi, bu yüzden dava sonunda reddedildi.",Kurak mevsimde otlar seyrekleşir ve hayvanlar uzaklara gitmek zorundadır.,"Konu hakkındaki bilgisi yetersiz, bu yüzden daha fazla araştırma yapması gerekiyor.",Sabah oturumundaki kalabalık seyrekti ama öğleden sonra kalabalıklaştı.,"Ülkenin bu bölgesinde yağış azdır, bu da tarımı çok zorlaştırır.",Vadinin kenarına ulaştığımızda ormandaki ağaçlar seyrekleşti.,Kısıtlı kaynaklara rağmen ekip projeyi zamanında tamamlamayı başardı.
94,Superficial,"Yüzeysel, Üstünkörü",adj,"Surface, Shallow","Deep, Profound, Detailed",I only have a superficial knowledge of French.,His knowledge of the subject is very superficial and needs more depth.,His knowledge seemed superficial.,He only has a superficial knowledge of the subject he is teaching.,The damage to the car was only superficial and easily fixed.,Don't make a superficial judgment based only on someone's looks.,The damage to the car was only superficial and did not affect the engine.,He has only a superficial knowledge of the subject and needs more depth.,Don't make a superficial judgment of someone based only on their appearance.,The doctor said that the injury was superficial and would heal very quickly.,The similarities between the two theories are only superficial at best.,She criticized the article for its superficial analysis of a very complex issue.,The peace agreement was seen as superficial and failed to address the root causes.,He gave the report a superficial glance before signing it and moving on.,A superficial understanding of the law can lead to serious legal problems.,"The conversation remained superficial, as neither of them wanted to discuss the crisis.",Üstünkörü bir Fransızca bilgim var.,Konu hakkındaki bilgisi çok yüzeysel ve daha fazla derinliğe ihtiyacı var.,Bilgisi yüzeysel görünüyordu.,Öğrettiği konu hakkında sadece yüzeysel bir bilgiye sahip.,Arabadaki hasar sadece yüzeyseldi ve kolayca onarıldı.,Sadece birinin görünüşüne dayanarak yüzeysel bir yargıda bulunmayın.,Arabadaki hasar sadece yüzeyseldi ve motoru etkilemedi.,Konu hakkında sadece yüzeysel bir bilgiye sahip ve daha fazla derinliğe ihtiyacı var.,Birini sadece dış görünüşüne göre yüzeysel olarak yargılamayın.,"Doktor, yaranın yüzeysel olduğunu ve çok çabuk iyileşeceğini söyledi.",İki teori arasındaki benzerlikler en iyi ihtimalle sadece yüzeyseldir.,"Makaleyi, çok karmaşık bir konunun yüzeysel bir analizi olduğu için eleştirdi.",Barış anlaşması yüzeysel görüldü ve temel nedenleri ele almakta yetersiz kaldı.,Raporu imzalamadan ve geçmeden önce ona yüzeysel bir bakış attı.,Hukukun yüzeysel bir şekilde anlaşılması ciddi yasal sorunlara yol açabilir.,Hiçbiri krizi tartışmak istemediği için konuşma yüzeysel kaldı.
95,Pledge,"Söz, Vaat, İşaret, Teminat, Rehin, Bağışlanacağına söz verilmiş para",n,Promise,,Thousands of people made pledges to the “Children in Need charity campaign”.,The government made a pledge to reduce carbon emissions.,She made a pledge to protect nature.,The government made a pledge to reduce taxes by next year.,Each member of the team made a pledge to work harder.,He gave his word as a pledge that he would return the money.,The government made a pledge to reduce carbon emissions by fifty percent.,Many wealthy donors made a pledge to support the new children's hospital.,Each member of the team made a pledge to work harder for the next game.,He gave his word as a pledge that he would return the borrowed money today.,The international community made a pledge to provide aid to the refugees.,She broke her pledge to remain silent about the secret details of the deal.,The candidate's main pledge was to lower taxes for middle-class families.,Organizations often ask for a financial pledge during their charity campaigns.,He signed a pledge of loyalty to the organization before he was hired.,The two nations made a pledge to resolve their border dispute peacefully.,Binlerce insan “ihtiyacı olan çocuklara hayır kampanyasına” yardım sözü verdi.,"Hükümet, karbon emisyonlarını azaltma sözü verdi.",Doğayı korumaya söz verdi.,"Hükümet, önümüzdeki yıla kadar vergileri düşürme sözü verdi.",Ekibin her üyesi daha fazla çalışma sözü verdi.,Parayı geri vereceğine dair söz vererek teminat verdi.,"Hükümet, karbon emisyonlarını yüzde elli oranında azaltma taahhüdünde bulundu.","Pek çok zengin bağışçı, yeni çocuk hastanesini destekleme sözü verdi.",Takımın her üyesi bir sonraki maç için daha sıkı çalışma sözü verdi.,Ödünç aldığı parayı bugün iade edeceğine dair söz verdi.,Uluslararası toplum mültecilere yardım sağlama taahhüdünde bulundu.,Anlaşmanın gizli detayları hakkında sessiz kalma sözünü bozdu.,Adayın ana vaadi orta sınıf aileler için vergileri düşürmekti.,Kuruluşlar yardım kampanyaları sırasında genellikle mali bir taahhüt isterler.,İşe alınmadan önce kuruluşa sadakat yemini imzaladı.,İki ulus sınır anlaşmazlıklarını barışçıl yollarla çözme sözü verdi.
96,Notorious,"Adı çıkmış, Dile düşmüş, Kötülüğüyle ünlenmiş",adj,"Infamous, Disreputable","Famous, Well-Known, Reknown, Eminent",The company is notorious for paying its bills late.,The area is notorious for its high crime rate.,The politician is notorious for scandals.,The area is notorious for its high crime and drug problems.,He became notorious for his cruel treatment of his employees.,The bridge is notorious for causing traffic delays during rush hour.,The city is notorious for its high crime rate and dangerous neighborhoods.,The company is notorious for its poor customer service and slow response.,He became notorious for his cruel treatment of his employees over the years.,The area is notorious for its sudden and unpredictable weather changes.,This specific type of virus is notorious for being resistant to most antibiotics.,The bridge is notorious for causing massive traffic delays during rush hour.,A notorious pirate was once captured and imprisoned in this ancient fortress.,The prison is notorious for its harsh conditions and lack of basic amenities.,She is notorious for her habit of always being late to every important meeting.,The region is notorious for the high frequency of severe volcanic activity.,Şirket faturalarını geç ödemesiyle biliniyor.,"Bölge, yüksek suç oranıyla kötü bir üne sahiptir.",Politikacı skandallarıyla tanınıyor.,"Bölge, yüksek suç ve uyuşturucu sorunlarıyla nam salmıştır.",Çalışanlarına yönelik zalimce muamelesiyle adı kötüye çıktı.,"Köprü, yoğun saatlerde trafik gecikmelerine neden olmasıyla bilinir.","Şehir, yüksek suç oranı ve tehlikeli mahalleleriyle kötü bir üne sahiptir.","Şirket, kötü müşteri hizmetleri ve yavaş yanıt vermesiyle tanınır.",Yıllar boyunca çalışanlarına karşı sergilediği zalimce tutumla nam saldı.,"Bölge, ani ve öngörülemeyen hava değişiklikleriyle bilinir.","Bu özel virüs türü, çoğu antibiyotiğe dirençli olmasıyla bilinir.","Köprü, yoğun saatlerde büyük trafik gecikmelerine neden olmasıyla nam salmıştır.",Bir zamanlar bu antik kalede azılı bir korsan yakalanmış ve hapsedilmiştir.,"Hapishane, sert koşulları ve temel imkanların eksikliğiyle ünlüdür.",Her önemli toplantıya her zaman geç kalma huyuyla tanınır.,"Bölge, şiddetli volkanik faaliyetlerin yüksek sıklığıyla bilinir."
97,Onslaught,Saldırı,n,"Attack, Assault",Withdraw,Scotland's onslaught on Wales in the second half of the match earned them a 4-1 victory.,The sudden onslaught of heavy rain caused flash flooding.,The army launched a massive onslaught.,The town could not survive the fierce onslaught of the army.,The hospital was struggling to handle the onslaught of patients.,We prepared our house for the onslaught of the winter storm.,The small army struggled to survive the enemy's fierce and sudden onslaught.,Hospitals were overwhelmed by the onslaught of patients during the flu season.,The coastal town was not prepared for the onslaught of the massive hurricane.,The company faced an onslaught of criticism after the environmental disaster.,Scientists are studying how to protect crops from the onslaught of pests.,The city's infrastructure could not handle the onslaught of heavy snow.,The team suffered a heavy onslaught from their opponents in the second half.,Digital retailers face an onslaught of orders during the holiday shopping season.,The forest was devastated by the onslaught of a major wildfire last summer.,He was not expecting such an onslaught of questions from the journalists.,İskoçya’nın maçın ikinci yarısında Galler’e karşı atakları onlara 4-1’lik bir zafer kazandırdı.,Şiddetli yağmurun ani baskını ani sellere neden oldu.,Ordu büyük bir saldırı başlattı.,"Kasaba, ordunun şiddetli saldırısından kurtulamadı.",Hastane hasta akınıyla başa çıkmakta zorlanıyordu.,Evimizi kış fırtınasının şiddetli saldırısına karşı hazırladık.,"Küçük ordu, düşmanın şiddetli ve ani saldırısından kurtulmak için mücadele etti.",Hastaneler grip mevsiminde hasta akınına uğradı.,Sahil kasabası büyük kasırganın saldırısına hazırlıklı değildi.,Şirket çevre felaketinden sonra bir eleştiri yağmuruyla karşı karşıya kaldı.,Bilim insanları ürünleri haşere istilasından nasıl koruyacaklarını inceliyorlar.,Şehrin altyapısı yoğun kar yağışının baskısıyla başa çıkamadı.,"Takım, ikinci yarıda rakiplerinden ağır bir saldırı yedi.",Dijital perakendeciler tatil alışverişi sezonunda bir sipariş yağmuruyla karşılaşır.,"Orman, geçen yaz büyük bir yangının saldırısıyla harap oldu.",Gazetecilerden bu kadar çok soru yağmuru beklemiyordu.
98,Permanent,"Sürekli, Devam eden, Kalıcı, Daimi",adj,"Perpetual, Continious",Temporary,She is looking for a permanent place to stay.,The damage to the ancient monument was unfortunately permanent.,They signed a permanent agreement.,The ink from the marker left a permanent mark on the white table.,She is looking for a permanent job after working as an intern.,The damage to the ancient building was unfortunately permanent.,The dark ink from the marker left a permanent stain on the white carpet.,She is looking for a permanent job after working as an intern for a year.,The damage caused by the earthquake to the ancient temple was permanent.,They decided to make the city their permanent home after traveling for years.,The new law will make the temporary tax increase a permanent regulation.,Some chemicals can cause permanent damage to the local water supply.,Finding a permanent solution to the energy crisis is a global priority.,He was granted permanent residency after living in the country for five years.,The exhibition was so popular that the museum decided to make it permanent.,Climate change could lead to a permanent loss of biodiversity in the region.,Sürekli kalabileceği bir yer arıyor.,Antik anıta verilen zarar ne yazık ki kalıcıydı.,Kalıcı bir anlaşma imzaladılar.,Keçeli kalemden gelen mürekkep beyaz masada kalıcı bir iz bıraktı.,Stajyer olarak çalıştıktan sonra kalıcı bir iş arıyor.,Antik binaya verilen hasar ne yazık ki kalıcıydı.,Keçeli kalemden gelen koyu mürekkep beyaz halıda kalıcı bir leke bıraktı.,Bir yıl stajyerlik yaptıktan sonra kalıcı bir iş arıyor.,Depremin antik tapınakta yol açtığı hasar kalıcıydı.,Yıllarca seyahat ettikten sonra şehri kalıcı evleri yapmaya karar verdiler.,Yeni yasa geçici vergi artışını kalıcı bir düzenleme haline getirecek.,Bazı kimyasallar yerel su kaynağında kalıcı hasara neden olabilir.,Enerji krizine kalıcı bir çözüm bulmak küresel bir önceliktir.,Beş yıl ülkede yaşadıktan sonra ona kalıcı ikamet izni verildi.,Sergi o kadar popülerdi ki müze onu kalıcı hale getirmeye karar verdi.,İklim değişikliği bölgede kalıcı bir biyoçeşitlilik kaybına yol açabilir.
99,Relative,"Göreceli, İzafi, Bağıl",adj,Comparative,"Absolute, Definite",The amount of petrol a car uses is relative to its speed.,The success of the project is relative to the effort put in.,Success is relative to expectations.,The success of the program is relative to the amount of effort.,Prices are quite low here compared to the relative cost of living.,His wealth is only relative to the poverty of his neighbors.,The success of the marketing project is relative to the amount of effort put in.,Prices in this city are quite low when compared to the relative cost of living.,His wealth is only relative to the poverty of the people in his neighborhood.,The importance of the discovery is relative to its potential impact on science.,The company's growth has been relative to the overall stability of the market.,Time is a relative concept that can feel different depending on the situation.,The risks involved are relative to the potential rewards of the investment.,We must consider the relative advantages and disadvantages of each option.,The beauty of the landscape is relative to the perspective of the observer.,The effectiveness of the drug is relative to the health condition of the patient.,Bir arabanın tüketeceği yakıt miktarı hızına bağlıdır.,Projenin başarısı harcanan çabayla orantılıdır.,Başarı beklentilere göre görecelidir.,Programın başarısı gösterilen çaba miktarıyla orantılıdır.,Göreceli yaşam maliyetine kıyasla burada fiyatlar oldukça düşük.,Onun zenginliği sadece komşularının fakirliğine kıyasladır.,"Pazarlama projesinin başarısı, harcanan çaba miktarıyla orantılıdır.","Bu şehirdeki fiyatlar, göreceli yaşam maliyeti ile karşılaştırıldığında oldukça düşüktür.","Onun zenginliği, mahallesindeki insanların fakirliğine göre sadece görecelidir.","Keşfin önemi, bilim üzerindeki potansiyel etkisine bağlıdır.","Şirketin büyümesi, pazarın genel istikrarıyla orantılı olmuştur.","Zaman, duruma göre farklı hissettirebilen göreceli bir kavramdır.","Söz konusu riskler, yatırımın potansiyel getirileriyle orantılıdır.",Her bir seçeneğin göreceli avantajlarını ve dezavantajlarını dikkate almalıyız.,"Manzaranın güzelliği, gözlemcinin bakış açısına göre değişir.","İlacın etkinliği, hastanın sağlık durumuyla orantılıdır."
100,Render,"-mesine neden olmak, Duruma Getirmek, Netleştirmek",v,"Make, Cause to be",,New technology has rendered my old computer to be out of date.,The sudden flood rendered the roads impassable for days.,Her assistance rendered the task much simpler for the team.,A technical failure rendered the communication system useless.,The court's decision rendered the previous contract null and void.,He worked hard to render the complex data into a clear chart.,High pressure can render certain materials extremely brittle.,The translation fails to render the true meaning of the poem.,New evidence may render the previous scientific theory invalid.,Lack of maintenance rendered the bridge unsafe for heavy traffic.,The witness's story rendered the suspect's alibi questionable.,He tried to render his apology in a sincere and humble manner.,The company sought to render its services more accessible.,A power surge rendered the server completely non-functional.,The artist managed to render the landscape with incredible detail.,The judge will render a final verdict after hearing all witnesses.,Yeni teknoloji eski bilgisayarımın demode olmasına neden oldu.,Ani sel baskını yolları günlerce geçilmez hale getirdi.,Onun yardımı görevi tüm ekip için çok daha basit hale getirdi.,Teknik bir arıza iletişim sistemini işe yaramaz kıldı.,Mahkemenin kararı önceki sözleşmeyi geçersiz ve hükümsüz kıldı.,Karmaşık verileri net bir tabloya dönüştürmek için çok çalıştı.,Yüksek basınç bazı malzemeleri son derece kırılgan hale getirebilir.,"Çeviri, orijinal şiirin gerçek anlamını yansıtmakta başarısız oluyor.",Yeni kanıtlar önceki bilimsel teoriyi geçersiz kılabilir.,Bakım eksikliği köprüyü ağır trafik için güvensiz hale getirdi.,Tanığın hikayesi şüphelinin mazeretini sorgulanır hale getirdi.,Özürünü samimi ve mütevazı bir şekilde sunmaya çalıştı.,"Şirket, hizmetlerini herkes için daha erişilebilir hale getirmeye çalıştı.",Güç dalgalanması sunucuyu tamamen işlevsiz hale getirdi.,Sanatçı manzarayı inanılmaz bir detayla yansıtmayı başardı.,Hakim tüm tanıkları dinledikten sonra nihai bir karar verecek.
101,Reputation,"Ün, şöhret",n,"Fame, prominence, eminence",,The company has a worldwide reputation for quality.,He spent years building a reputation as a leading expert.,A single mistake can destroy a professional reputation instantly.,The university has a solid reputation for innovative research.,They worked relentlessly to protect their reputation for honesty.,His reputation suffered after the scandal was reported.,Local businesses rely on their reputation within the community.,The firm has an excellent reputation for winning difficult cases.,She gained a reputation for being a very considerate manager.,The brand's global reputation is a major factor in its success.,He is a scholar of great reputation in the field of history.,We must ensure our actions do not harm the company's reputation.,The region has a reputation for being quite hostile to outsiders.,Her academic reputation opened many doors for her career.,They are trying to restore their reputation after the crisis.,The scientist's reputation grew after the successful experiment.,Şirketin kalite anlamında dünya çapında bir ünü var.,Önde gelen bir uzman olarak ün kazanmak için yıllarını harcadı.,"Tek bir hata, profesyonel bir itibarı anında yok edebilir.","Üniversite, yenilikçi araştırmalarıyla sağlam bir üne sahiptir.",Dürüstlük konusundaki itibarlarını korumak için amansızca çalıştılar.,Skandal haberlerde yer aldıktan sonra itibarı zarar gördü.,Yerel işletmeler topluluk içindeki itibarlarına güvenirler.,Firmanın zor davaları kazanma konusunda mükemmel bir ünü vardır.,Çok düşünceli bir yönetici olarak ün kazandı.,"Markanın küresel itibarı, başarısındaki ana faktördür.",Tarih alanında büyük ün sahibi bir bilgindir.,Eylemlerimizin şirket itibarına zarar vermemesini sağlamalıyız.,"Bölge, yabancılara karşı oldukça düşmanca bir üne sahiptir.",Akademik itibarı kariyeri için birçok kapı açtı.,Krizden sonra itibarlarını geri kazanmaya çalışıyorlar.,Başarılı deneyden sonra bilim insanının ünü arttı.
102,Reconciliation,"Anlaşma, uzlaşma",n,"Agreement, settlement",Disagreement,It took hours of negotiations to bring about a reconciliation between the two sides.,The leaders met to discuss a possible reconciliation plan.,Achieving reconciliation requires deep mutual respect and trust.,The treaty served as a framework for national reconciliation.,Family reconciliation often involves forgiving past mistakes.,Economic reconciliation was needed after the prolonged trade war.,There is hope for a reconciliation between the two rivals.,Public ceremonies were held to heal wounds through reconciliation.,The mediator worked hard to facilitate a reconciliation.,They are seeking reconciliation to end the long-standing dispute.,True reconciliation starts with acknowledging the errors of the past.,The process of reconciliation has been sluggish but steady.,Both parties expressed a desire for political reconciliation.,Cultural exchange programs can promote social reconciliation.,The committee was formed to handle the task of reconciliation.,It is difficult to reach reconciliation without honest dialogue.,İki taraf arasında bir uzlaşmaya varmak için yapılan görüşmeler saatler aldı.,Liderler olası bir uzlaşma planını görüşmek üzere bir araya geldi.,Uzlaşmaya varmak derin bir karşılıklı saygı ve güven gerektirir.,"Antlaşma, ulusal uzlaşma için bir çerçeve görevi gördü.",Aile içi uzlaşma genellikle geçmiş hataları affetmeyi içerir.,Uzun süren ticaret savaşından sonra ekonomik uzlaşma gerekiyordu.,İki rakip arasında bir uzlaşma umudu var.,Uzlaşma yoluyla yaraları sarmak için halka açık törenler düzenlendi.,Arabulucu uzlaşmayı kolaylaştırmak için çok çalıştı.,Uzun süredir devam eden anlaşmazlığı bitirmek için uzlaşma arıyorlar.,Gerçek uzlaşma geçmişin hatalarını kabul etmekle başlar.,Uzlaşma süreci yavaş ama istikrarlı bir şekilde ilerledi.,Her iki taraf da siyasi uzlaşma arzusunu dile getirdi.,Kültürel değişim programları toplumsal uzlaşmayı teşvik edebilir.,Uzlaşma görevini yürütmek üzere bir komite kuruldu.,Dürüst bir diyalog olmadan uzlaşmaya varmak zordur.
103,Prevail,"Hakim olmak, hüküm sürmek, yaygın olmak",v,"Abound, exist thoroughly",,I am sure that common sense will prevail in the end.,Justice will eventually prevail over lies and corruption.,A sense of calm began to prevail after the storm passed.,Traditional customs still prevail in many remote villages.,Rational thinking must prevail during a major economic crisis.,The democratic system is expected to prevail in the election.,High standards of ethics should prevail in all business.,Logic did not prevail in the heated argument between them.,We hope that peace will prevail despite the current tension.,"In the scientific world, evidence-based theories always prevail.","Truth and honesty will prevail, no matter how long it takes.",A feeling of uncertainty began to prevail across the nation.,Good sense must prevail to avoid a violent confrontation.,The stronger team is likely to prevail in the final match.,Kindness should prevail even in the most hostile environments.,We are confident that our legal arguments will prevail in court.,Eminim sonunda sağduyu hakim olacak.,Adalet sonunda yalanlara ve yolsuzluğa galip gelecektir.,Fırtına geçtikten sonra bir sakinlik hissi hakim olmaya başladı.,Geleneksel adetler birçok uzak köyde hala yaygındır.,Büyük bir ekonomik kriz sırasında rasyonel düşünce hakim olmalıdır.,Seçimlerde demokratik sistemin üstün gelmesi bekleniyor.,Tüm ticari işlemlerde yüksek etik standartlar hakim olmalıdır.,Aralarındaki hararetli tartışmada mantık galip gelmedi.,Mevcut gerginliğe rağmen barışın hakim olacağını umuyoruz.,Bilim dünyasında kanıta dayalı teoriler her zaman üstün gelir.,Ne kadar sürerse sürsün doğruluk ve dürüstlük galip gelecektir.,Ulus genelinde bir belirsizlik duygusu hakim olmaya başladı.,Şiddetli bir çatışmadan kaçınmak için sağduyu hakim olmalıdır.,Güçlü takımın final maçında galip gelmesi muhtemeldir.,En düşmanca ortamlarda bile nezaket hakim olmalıdır.,Hukuki argümanlarımızın mahkemede üstün geleceğinden eminiz.
104,Probe,"Araştırma, insansız uzay roketi",n,"Exploration, investigation, inquiry",,An FBI probe into corruption has been started.,The government started a probe into the causes of the fire.,NASA launched a probe to explore the surface of Mars.,Police are conducting a probe into the suspect's history.,The committee launched a deep probe into the financial records.,A scientific probe was sent to study the outer atmosphere.,The journalist's probe revealed a massive web of deception.,Financial experts conducted a probe into the bank's activities.,A thorough probe is necessary to determine the exact cause.,The government promised a full probe into the ethical scandal.,New technology allows for a non-invasive probe of cells.,The criminal probe led to the arrest of several officials.,NASA's recent probe provided incredible images of planets.,The investigation involves a probe into potential health risks.,They used a digital probe to measure the soil temperature.,The environmental probe highlighted the extent of pollution.,Yolsuzlukla ilgili bir FBI soruşturması başlatıldı.,Hükümet yangının nedenlerine ilişkin bir araştırma başlattı.,"NASA, Mars'ın yüzeyini araştırmak için bir uzay roketi fırlattı.","Polis, şüphelinin geçmişine yönelik bir soruşturma yürütüyor.","Komite, mali kayıtlara yönelik derin bir inceleme başlattı.",Dış atmosferi incelemek için bilimsel bir sonda gönderildi.,Gazetecinin araştırması devasa bir aldatma ağını ortaya çıkardı.,Finans uzmanları bankanın faaliyetlerine yönelik inceleme yaptı.,Kesin nedeni belirlemek için kapsamlı bir araştırma gereklidir.,"Hükümet, etik skandala yönelik tam bir soruşturma sözü verdi.",Yeni teknoloji hücrelerin invaziv olmayan incelemesine olanak tanıyor.,Kriminal soruşturma birkaç yetkilinin tutuklanmasına yol açtı.,NASA'nın son sondası gezegenlerin inanılmaz görüntülerini sağladı.,"Soruşturma, potansiyel sağlık risklerine yönelik bir araştırmayı içeriyor.",Toprak sıcaklığını ölçmek için dijital bir sonda kullandılar.,"Çevresel araştırma, kirliliğin boyutuna dikkat çekti."
105,Keen,"Çok hevesli, gözü açık",adj,"Eager, willing",Unwilling,They were very keen to start work as soon as possible.,She is very keen on learning how to play the piano.,He has a keen sense of observation and detail.,Dogs have a very keen sense of smell compared to humans.,She is very keen to start her new job next Monday.,He has a keen interest in learning about ancient history.,She has a keen interest in studying environmental law.,Having a keen mind is essential for solving complex puzzles.,The company is keen on expanding its market influence.,Her keen sense of justice led her to pursue a law career.,Scientists remain keen to discover life on other planets.,"He has a keen eye for detail, making him a great editor.",The students are keen to learn about the new technology.,He showed a keen desire to improve his linguistic skills.,Managers must be keen to identify the needs of their staff.,She is a keen observer of human behavior and social trends.,En kısa zamanda işe başlamak için çok isteklilerdi.,Piyano çalmayı öğrenmeye çok hevesli.,Gözlem ve detay konusunda keskin bir duyusu var.,Köpeklerin insanlara kıyasla çok keskin bir koku alma duyusu vardır.,Gelecek Pazartesi yeni işine başlamak için çok istekli.,Antik tarihi öğrenmeye karşı büyük bir ilgisi var.,Çevre hukuku okumaya karşı çok hevesli.,Karmaşık bulmacaları çözmek için keskin bir zekaya sahip olmak esastır.,Şirket pazar etkisini genişletmeye hevesli.,Keskin adalet duygusu onu hukuk kariyeri yapmaya itti.,Bilim insanları diğer gezegenlerde yaşam keşfetmeye hevesli kalmaya devam ediyor.,"Detaylar için keskin bir gözü var, bu da onu harika bir editör yapıyor.",Öğrenciler yeni teknolojiyi öğrenmeye hevesli.,Dil becerilerini geliştirme konusunda keskin bir istek gösterdi.,"Yöneticiler, personelin ihtiyaçlarını belirleme konusunda dikkatli olmalıdır.",İnsan davranışı ve sosyal eğilimlerin keskin bir gözlemcisidir.
